"siteUrl","performance","accessibility","bestPractices","seo","analysisTime"
"https://www.detran.ms.gov.br/",0.46,0.76,0.96,0.92,23.483
"https://eservicos.sefaz.ms.gov.br/",0.55,0.9,0.93,0.67,19.476
